Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Total_Agricultural_Land,Barren_Land
Arecanut,1997,Whole Year ,Assam,73814,56708,2051.4,7024878.38,22882.34,0.796086957,86840,13026
Arhar/Tur,1997,Kharif     ,Assam,6637,4685,2051.4,631643.29,2057.47,0.710434783,7808.235294,1171.235294
Castor seed,1997,Kharif     ,Assam,796,22,2051.4,75755.32,246.76,0.238333333,936.4705882,140.4705882
Coconut ,1997,Whole Year ,Assam,19656,126905000,2051.4,1870661.52,6093.36,5238.051739,23124.70588,3468.705882
Cotton(lint),1997,Kharif     ,Assam,1739,794,2051.4,165500.63,539.09,0.420909091,2045.882353,306.8823529
Dry chillies,1997,Whole Year ,Assam,13587,9073,2051.4,1293074.79,4211.97,0.643636364,15984.70588,2397.705882
Gram,1997,Rabi       ,Assam,2979,1507,2051.4,283511.43,923.49,0.465454545,3504.705882,525.7058824
Jute,1997,Kharif     ,Assam,94520,904095,2051.4,8995468.4,29301.2,9.919565217,111200,16680
Linseed,1997,Rabi       ,Assam,10098,5158,2051.4,961026.66,3130.38,0.461363636,11880,1782
Maize,1997,Kharif     ,Assam,19216,14721,2051.4,1828786.72,5956.96,0.615652174,22607.05882,3391.058824
Mesta,1997,Kharif     ,Assam,5915,29003,2051.4,562930.55,1833.65,4.568947368,6958.823529,1043.823529
Niger seed,1997,Whole Year ,Assam,9914,5076,2051.4,943515.38,3073.34,0.482352941,11663.52941,1749.529412
Onion,1997,Whole Year ,Assam,7832,17943,2051.4,745371.44,2427.92,2.342608696,9214.117647,1382.117647
Other  Rabi pulses,1997,Rabi       ,Assam,108297,58272,2051.4,10306625.49,33572.07,0.520869565,127408.2353,19111.23529
Potato,1997,Whole Year ,Assam,75259,671871,2051.4,7162399.03,23330.29,7.561304348,88540,13281
Rapeseed &Mustard,1997,Rabi       ,Assam,279292,154772,2051.4,26580219.64,86580.52,0.554782609,328578.8235,49286.82353
